id,titulo,imagen,imagenes,categoria_id,categoria_nombre,subcategoria_id,subcategoria_nombre,producto_descripcion,precio
IND-THEBOX-YELLOW,THE BOX AMARILLA,https://hexibo.com/wp-content/uploads/2024/02/Unknown-6-600x799.jpeg,https://hexibo.com/wp-content/uploads/2024/02/Unknown-6-600x799.jpeg ,ORGANIZACION INDUSTRIAL,ORGANIZACION INDUSTRIAL,THE_BOX,THE BOX,"MATERIAL: HDPE (POLIELITENO DE ALTA DENSIDAD)

MEDIDAS 60*40*30cm

CAPACIDAD DE 57 LITROS",129
IND-THEBOX-BLUE,THE BOX AZUL,https://hexibo.com/wp-content/uploads/2024/02/Unknown-5-600x799.jpeg,https://hexibo.com/wp-content/uploads/2024/02/Unknown-5-600x799.jpeg,ORGANIZACION INDUSTRIAL,ORGANIZACION INDUSTRIAL,THE_BOX,THE BOX,"MATERIAL: HDPE (POLIELITENO DE ALTA DENSIDAD)

MEDIDAS 60*40*30cm

CAPACIDAD DE 57 LITROS",129
IND-THEBOX-GREY,THE BOX GRIS,https://hexibo.com/wp-content/uploads/2024/02/Unknown-2-600x799.jpeg,https://hexibo.com/wp-content/uploads/2024/02/Unknown-2-600x799.jpeg,ORGANIZACION INDUSTRIAL,ORGANIZACION INDUSTRIAL,THE_BOX,THE BOX,"MATERIAL: HDPE (POLIELITENO DE ALTA DENSIDAD)

MEDIDAS 60*40*30cm

CAPACIDAD DE 57 LITROS",129
IND-THEBOX-RED,THE BOX ROJA,https://hexibo.com/wp-content/uploads/2024/02/Unknown-7-600x799.jpeg,https://hexibo.com/wp-content/uploads/2024/02/Unknown-7-600x799.jpeg,ORGANIZACION INDUSTRIAL,ORGANIZACION INDUSTRIAL,THE_BOX,THE BOX,"MATERIAL: HDPE (POLIELITENO DE ALTA DENSIDAD)

MEDIDAS 60*40*30cm

CAPACIDAD DE 57 LITROS",129
IND-THEBOX-VERDE,THE BOX VERDE,https://hexibo.com/wp-content/uploads/2024/02/Unknown-4-600x799.jpeg,https://hexibo.com/wp-content/uploads/2024/02/Unknown-4-600x799.jpeg,ORGANIZACION INDUSTRIAL,ORGANIZACION INDUSTRIAL,THE_BOX,THE BOX,"MATERIAL: HDPE (POLIELITENO DE ALTA DENSIDAD)

MEDIDAS 60*40*30cm

CAPACIDAD DE 57 LITROS",129
IND-GREENBOX-S-40,CAJA ORGANIZACIÓN INDUSTRIAL GREEN BOX S,https://hexibo.com/wp-content/uploads/2023/06/IND-GREENBOX-1-600x407.png,https://hexibo.com/wp-content/uploads/2023/06/IND-GREENBOX-1-600x407.png | https://hexibo.com/wp-content/uploads/2023/06/IND-GREENBOX-3-600x600.jpg | https://hexibo.com/wp-content/uploads/2023/06/IND-GREENBOX-2.jpg | https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-2.jpg,ORGANIZACION INDUSTRIAL,ORGANIZACION INDUSTRIAL,GREEN_BOX,GREEN BOX,"Dimensiones: 62×41.5×22.5cm
Capacidad: 40L",99
IND-GREENBOX-M-60,CAJA ORGANIZACIÓN INDUSTRIAL GREEN BOX M,https://hexibo.com/wp-content/uploads/2023/06/IND-GREENBOX-1-600x407.png,https://hexibo.com/wp-content/uploads/2023/06/IND-GREENBOX-1-600x407.png | https://hexibo.com/wp-content/uploads/2023/06/IND-GREENBOX-3-600x600.jpg | https://hexibo.com/wp-content/uploads/2023/06/IND-GREENBOX-2.jpg | https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-2.jpg,ORGANIZACION INDUSTRIAL,ORGANIZACION INDUSTRIAL,GREEN_BOX,GREEN BOX,"Dimensiones: 62×41.5×33.5cm
Capacidad: 60L",119
IND-GREENBOX-L-80,CAJA ORGANIZACIÓN INDUSTRIAL GREEN BOX L,https://hexibo.com/wp-content/uploads/2023/06/IND-GREENBOX-1-600x407.png,https://hexibo.com/wp-content/uploads/2023/06/IND-GREENBOX-1-600x407.png | https://hexibo.com/wp-content/uploads/2023/06/IND-GREENBOX-3-600x600.jpg | https://hexibo.com/wp-content/uploads/2023/06/IND-GREENBOX-2.jpg | https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-2.jpg,ORGANIZACION INDUSTRIAL,ORGANIZACION INDUSTRIAL,GREEN_BOX,GREEN BOX,"Dimensiones: 62×41.5x43cm
Capacidad: 80L",139
IND-GREENBOX-XL-100,CAJA ORGANIZACIÓN INDUSTRIAL GREEN BOX XL,https://hexibo.com/wp-content/uploads/2023/06/IND-GREENBOX-1-600x407.png,https://hexibo.com/wp-content/uploads/2023/06/IND-GREENBOX-1-600x407.png | https://hexibo.com/wp-content/uploads/2023/06/IND-GREENBOX-3-600x600.jpg | https://hexibo.com/wp-content/uploads/2023/06/IND-GREENBOX-2.jpg | https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-2.jpg,ORGANIZACION INDUSTRIAL,ORGANIZACION INDUSTRIAL,GREEN_BOX,GREEN BOX,"Dimensiones: 77.5x52x37cm
Capacidad: 100L",149
IND-YELLOWBOX-XS-25,CAJA ORGANIZACIÓN INDUSTRIAL YELLOW BOX XS,https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-1.jpg,https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-1.jpg | https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-3.jpg | https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-2.jpg | https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-4-600x600.jpg | https://hexibo.com/wp-content/uploads/2023/06/IND-YELLOWBOX-5-600x600.jpg,ORGANIZACION INDUSTRIAL,ORGANIZACION INDUSTRIAL,YELLOW_BOX,YELLOW BOX,"Dimensiones: 47x33x26cm
Capacidad: 25L",75
